rating,title,date,location
FALSE," Haiti, Tanzania and Madagascar refused the COVID-19 vaccines and now all three of their presidents have died unexpectedly.",2021/07/11 , United States
FALSE, The administration of the Sinovac vaccine has been completely suspended,2021/07/11 , Turkey
FALSE," Children will be tortured with masks, temperature measurements … to instill fear, at the same time “educational brainwashing” to “recognize fake news”, and in the future they want to inject themselves with the “vaccine” – a genetic therapy that kills.",2021/07/11 , North Macedonia
PARTLY FALSE, The Ministry of Health has stopped the use of the Sinovac vaccine.,2021/07/09 , Turkey
FALSE, Pfizer BioNTech vaccine contains graphene material.,2021/07/09 , Turkey
FALSE, Haitian President Jovenel Moise is anti-vaccine and the only person in the country to not be vaccinated.,2021/07/09 , Turkey
FALSE, The COVID-19 vaccines cause variants to emerge.,2021/07/09 , Turkey
FALSE, Photo shows Mike Tyson in an anti-vaccine tee,2021/07/09 , Turkey
FALSE, The Boeing 737-800 was shot down by the Iranian military to prevent the export of the COVID-19 strain. There was an immunologist Forough Khadem on board – she was transporting the original SARS-Cov-2 strain and the COVID-19 vaccine.,2021/07/09 ," Ukraine, Iran"
FALSO, Raffaella Carrà has died from the vaccine against COVID-19,2021/07/08 , Spain
FALSE," In the Turkish Republic of Northern Cyprus, Dr. Johnson & Johnson’s vaccine has been removed at the Dr. Suat Günsel University of Kyrenia Hospital.",2021/07/08 ," Turkey, Turkish Republic of Northern Cyprus"
Missing context," It is claimed that on May 8, the European Medicines Agency (EMA), using the EudraVigilance database, which collects reports of suspected adverse drug reactions, including vaccines, published a report in which: By May 8, 2021, they recorded 10,570 deaths and 405,259 adverse reactions after injection of the four experimental vaccines against COVID-19.",2021/07/08 , North Macedonia
FALSE, Dr. Andrew Weifeld: Vaccines develop spike protein. Genetic engineering has been performed. The DNA is changing.,2021/07/08 , North Macedonia
FALSE, The Pfizer-BioNTech vaccine contains 99% graphene oxide.,2021/07/08 , Ukraine
Misleading, Sri Lanka becomes the first South Asian country to receive Pfizer vaccines.,2021/07/08 , Sri Lanka
FALSE, Pfizer/BioNTech COVID-19 vaccine is 99% graphene oxide,2021/07/08 , Turkey
FALSE, The myth that the benefits of vaccines outweigh the risks collapses in Australia. More Australians have died from vaccines than from coronaviruses.,2021/07/08 ," Spain, Australia"
Misleading, Male doctor was the ‘first vaccine-related death in India.’,2021/07/07 , India
FALSE, The Covid-19 messenger ribonucleic acid (mRNA) vaccines can cause people to develop a “magnetic force.”,2021/07/07 , France
FALSE, S proteins in vaccines are toxic.,2021/07/07 , Spain
FALSE," The Pfizer COVID-19 vaccine is “99% graphene oxide,” which is “toxic to the human body and causes a number of problems.",2021/07/07 , United States
FALSE, The RFID reader responds to the high level of electromagnetism of the vaccine.,2021/07/07 , Ukraine
Misleading, Different vaccines were offered to Muslims and non-Muslims in Malaysia.,2021/07/06 , Malaysia
FALSE, US sent to Brazil vaccines that were tainted,2021/07/06 , Brazil
Manipulation," Vaccines cause coronavirus mutations. New strains of the coronavirus emerged at the time and in countries where mass vaccination of the population began, like the UK and India, proving that the source of the virus mutation is vaccinated humans.",2021/07/06 ," Georgia, United Kingdom, India"
FALSE," Taiwan CDC toll-free hotline 1922 said that due to the malfunction of vaccine reservation platform, all reservations have failed.",2021/07/06 , Taiwan
FALSO," Xuxa wore a blouse that said “#fuerabolsonaro” while she was vaccinated and Mike Tyson, a shirt that asks not to trust vaccines.",2021/07/06 ," Spain, Brazil, United States"
FALSE, A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,2021/07/06 , United States
Partly false, Pfizer CEO Albert Bourla could not go visit Israel since he has not been vaccinated and that’s all you should know about the vaccines.,2021/07/06 , Latvia
FALSE, The claim is that medical microbiologist Neva Banes says vaccines won’t work for coronaviruses.,2021/07/06 , Turkey
Missing context," They said that the vaccines have been tested, safe and effective, and Petlichkovski says that only now they are examining the effects of the vaccines on the already vaccinated people.",2021/07/05 , North Macedonia
Misleading," Study in ‘Vaccines’ magazine showed that up to 4 people in 100,000 vaccinated die because of side effects",2021/07/05 , Brazil
FALSE, The virus mutates very quickly and therefore the vaccine cannot protect humans from new strains. Natural immunity acquired after infection is more persistent and longer-lasting than that acquired through vaccination. Calling for vaccination within 120 days of overcoming the COVID infection only serves to enrich the vaccine manufacturers.,2021/07/05 , Georgia
FALSE, Swiss pharmacies sell homoeopathic remedies to remove vaccines from the body.,2021/07/04 ," Ukraine, Switzerland"
FALSE," The AstraZenaca Taiwan got from Japan was originally from Indian manufacturer, whose AstraZeneca vaccine’s application for emergency use has been denied by the EU. That’s why 274 people died after vaccination in the past week.",2021/07/03 , Taiwan
FALSE," If the eating of animal blood separates man from God, then how much more the blood of small children separates man from God, which is the composition of vaccines (which is also acknowledged by their inventors). Should all this cause us concern ?! We should answer: »No, thank you Caesar! We will not listen to you! We prefer to die if God allows, but we will not agree to kill our soul and body!",2021/07/03 , North Macedonia
FALSE, The Covid-19 vaccines contain tracking devices.,2021/07/02 , United States
FALSE, University of Almeria’s study shows that vaccines contain graphene oxide.,2021/07/02 , Spain
FALSE, “Vaccine crew in Indian village attacked by locals”,2021/07/02 ," United States, India"
Missing context," Second vaccine shot cancelled after 46 people die in nursing home in Los Barrios, Cádiz.",2021/07/02 , Germany
FALSE," According to mRNA inventor, vaccines contain spike protein that penetrates everything and harms the body.",2021/07/02 , Georgia
FALSE, Former President of Brazil Dilma Rousseff said that the second dose of the Covid-19 vaccine should be given before the first dose,2021/07/02 , Brazil
FALSO, A report on the Pfizer vaccine from the University of Almería shows that the COVID-19 vaccine contains graphene oxide,2021/07/02 , Spain
FALSE, Moderna is vegan and Pfizer-BioNTech is vegetarian. Buddhists should take mRNA vaccine.,2021/07/01 , Taiwan
FALSE, The board members of Taiwan domestic vaccine maker Medigen consist of politician from ruling party including the current Taiwan president Tsai Ing-Wen. That’s why the government has tried so hard to block imported vaccines.,2021/07/01 , Taiwan
FALSE," The Chief scientist of Pfizer, Mike Yeadon claims that 0.8% of Covid vaccine recipients die within two weeks after their first jab. The average lifespan of them is two years.",2021/07/01 , Taiwan
FALSE, Pfizer and Moderna contain the magnetic ingredient. The Covid-19 vaccine is more toxic than coronavirus.,2021/07/01 , Taiwan
PARTL FALSE," Since the Covid-19 vaccine doesn’t provide immunity, doesn’t prevent death, it’s not necessary to get a covid jab.",2021/07/01 , Taiwan
FALSE, Vaccines cause indefinite infertility and pharmaceutical companies will not have to conduct regulatory studies for doses against the new variants to be authorized.,2021/07/01 , Spain
FALSE, Prof. Dr. Mehmet Ceyhan’s son will not be vaccinated because he is unsuitable for the COVID-19 vaccine.,2021/06/30 , Turkey
FALSE, The Moderna vaccine was found in 2019.,2021/06/30 , Turkey
FAUX," They received a COVID positive test after being vaccinated. So, the vaccine does not work.",2021/06/30 ," Canada, France"
Manipulation, VigiAccess data prove that thousands of people died due to the vaccine against COVID-19,2021/06/30 , Ukraine
Fake, Vaccine against COVID- 19 is dangerous and ineffective because it does not protect against the Delta strain,2021/06/30 , Ukraine
FALSE," Did they put a vaccine or did they put a magnet? This happens only in our country, says an elderly citizen in the Facebook video which has the caption “Let the people see”.",2021/06/30 , North Macedonia
FALSO, COVID-19 vaccines have not been tested on animals,2021/06/30 , Spain
FALSE, 4 pilots working at British Airways died after receiving the COVID-19 vaccine.,2021/06/30 , Turkey
FALSE," Total reactions for Pfizer/BioNTech vaccine: 7,420 deaths and 560,257 injuries.",2021/06/29 , Spain
FALSE, A peer-reviewed study proves that the COVID-19 vaccine causes two deaths for every three lives it saves.,2021/06/29 , United States
FALSE, A photo shows Mike Tyson wearing a T-shirt with an anti-vaccine message.,2021/06/29 , United States
FALSE, Johnson & Johnson vaccine prospectus is not in the package,2021/06/29 , Turkey
Misleading," The current death toll from the Covid-19 is higher than before vaccination started in Brazil and the world, suggesting that vaccines are ineffective.",2021/06/29 , Brazil
FALSE, Tbilisi Transport Company employee died a few hours after receiving the second dose of Sinopharm vaccine.,2021/06/29 , Georgia
conspiracy, Georgian singer’s death linked to the COVID-19 vaccine.,2021/06/29 , Georgia
FALSE, Peer-reviewed study proves that COVID-19 vaccine causes two deaths for every three lives it saves.,2021/06/29 , United States
Partly False," Pfizer’s vaccine causes side effects in “70%” of cases, is ineffective and violates the “Nuremberg Code.”",2021/06/29 , France
FALSE, “CDC officials admit more hospitalizations of young people from the vaccine than from the actual COVID virus.”,2021/06/28 , United States
MISLEADING," Pfizer vaccine caused 288 deaths in Israel according to IPC report, which is also evidenced by the fact that the death rate in January-February 2021, at the peak of the vaccination campaign, increased by 22% as compared to the last year.",2021/06/28 ," Georgia, Israel"
FALSE, An article written by Dr. Ping-Ing Lee criticizes Taiwan opposition’s opinions about vaccine policy.,2021/06/28 , Taiwan
MISLEADING," The third wave of Corona has started wreaking havoc in Delhi and Madhya Pradesh. Four people have died from the ‘Delta Plus variant’. Cases of the Delta Plus variant have been reported in Maharashtra, Delhi, Kerala, and Madhya Pradesh. It is also being said in the viral post that those who died of this variant had received both doses of the vaccine.",2021/06/28 , India
Fake, All vaccines against COVID-19 cause thrombosis and are dangerous for health,2021/06/28 , Ukraine
FALSE, Licensed vaccines using mRNA technology against the COVID-19 change our genome.,2021/06/28 , Spain
FALSE," Vaccine infects humans with adenovirus and inserts it into DNA, says Professor Redko.",2021/06/27 , Ukraine
FALSE, Johnson & Johnson cancelled the supply of 500 million doses of the vaccine due to side effects.,2021/06/27 , Ukraine
FALSE," People who have received a vaccine have a worsened blood count! A doctor compared the blood counts of patients before and after taking C-19 vaccine. The first picture is of healthy people who have received a vaccine, showing a normal cell picture. The following images show numerous nanoparticles in the bloodstream shortly after taking C-19-V. The doctor explains that the body will never be able to get rid of them and those nanoparticles will enter every cell of the body! That means – the person who received a vaccine will never be the same again. What is most frightening is that the life expectancy of those who received a vaccine (which is not what it is promoted for) is expected to be 2 years!",2021/06/27 , North Macedonia
FALSE," The post claims that the vaccine has a chip and that the vaccine has magnetizing properties. As an elaboration of such claims, an illustration was posted by an older woman whose chest had scissors, coins, and other similar objects glued to it. As part of the post, there is a video in Spanish, where it can be seen that an older woman sitting in a chair, her daughter applies scissors, staples, coins, and magnets in the chest, upper arms, or shoulders and on the back.",2021/06/27 , North Macedonia
FALSE, Italian singer Michele Merlo laughed at the adverse effects of the vaccine before he died from it.,2021/06/27 ," Spain, Italy"
FALSE, The chart shows deaths due to COVID-19 vaccines by country.,2021/06/26 , Turkey
PARTLY FALSE, Video has been circulating online along with claim says that media didn’t report the protest calling for more vaccine on June 26.,2021/06/26 , Taiwan
FALSE, The inventor of mRNA technology talks about the toxicity of spike protein from vaccines.,2021/06/26 , Ukraine
FALSE, Vaccines against COVID-19 do not protect against the Delta variant of SARS-CoV-2.,2021/06/26 , Ukraine
FALSE, The current consent form shows III. the phase of COVID-19 vaccine studies has not finished.,2021/06/25 , Turkey
FALSE," Autopsy of the vaccinated with COVID-19 revealed virus RNA in all organs, so the vaccine does not work.",2021/06/25 , Ukraine
FAŁSZ, Companies from the UK have proof that vaccines against the COVID-19 are dangerous.,2021/06/25 , Poland
FALSE, British Airwayspilots died from the COVID-19 vaccine.,2021/06/25 , Mexico
Misleading, Vaccines already caused 4.900 adverse events and 399 suspected deaths.,2021/06/25 , Brazil
FALSE, The confidential document shows Moderna already had a COVID-19 vaccine before the pandemic began.,2021/06/25 ," Spain, United States"
Misleading, The Modi government has sued Sonu Sood and asked from where did he get so many vaccines.,2021/06/25 , India
FALSE, Moderna developed a Covid-19 vaccine before the pandemic.,2021/06/25 , France
Enganoso, Urgent’ British report calls for a complete cessation of COVID vaccines in humans.,2021/06/24 , Brazil
FALSE," No product that would kill 5,000 and injure 300,000 people in 6 months would remain on the market. Why does the vaccine remain?",2021/06/24 , North Macedonia
FALSE, RNM Ministry of Health has bought 0 vaccines.,2021/06/24 , North Macedonia
Missing context, The video claims that the blank sheet in the Johnson & Johnson vaccine medical packaging is intended to conceal information about the safety and efficacy of the vaccine.,2021/06/24 , North Macedonia
FALSE, Moderna laboratory transferred Sars-CoV-2 vaccines to an American university in mid-December 2019.,2021/06/24 ," France, United States"
Falso," Colombia, out of the 92 countries that will receive 500 million vaccines donated by the United States.",2021/06/24 , Colombia
PARTLY FALSE, BioNTech COVID-19 vaccine has not been licensed and approved for emergency use in Turkey.,2021/06/24 , Turkey
FALSE," Sinovac vaccine attacks the immune system, causes paralyzes.",2021/06/24 , Turkey
FALSE, An unwritten prospectus appeared in a vaccine box.,2021/06/24 , Turkey
FALSE, London Council opens a bid for future vaccine deaths.,2021/06/24 ," Turkey, United Kingdom"
FALSE, Dr. Dolores Cahill said in a video that mRNA vaccine induces illness and transforms vaccine recipient into a transgenic organism.,2021/06/23 , Taiwan
FALSE, Singapore advice people who are breastfeeding stop doing so for five to seven days after receiving vaccine.,2021/06/23 , Taiwan
Falso," The Covid-19 vaccines killed 4,000 people in the US; spike proteins produced by covid vaccines accumulate in organs and the bloodstream causing diseases.",2021/06/23 , Brazil
FALSE," What the mainstream media has rejected this as a “conspiracy theory” for many months, it is now openly acknowledged by the mainstream media !!! PCR test can not be used! And why a million businesses are now destroyed? Did we all have to walk around wearing masks? Will we vaccinate an incredible number of people with the high-risk vaccine?",2021/06/23 , North Macedonia
FALSE, Those who produced the vaccines admit that they are not effective against new mutations.,2021/06/23 , North Macedonia
NO EVIDENCE, Four pilots of the BRITISH AIRWAYS dead due to COVID vaccine.,2021/06/23 ," Georgia, United Kingdom"
FALSE, Funeral directors say “no one is dying from COVID” and “the only ones dying are from the vaccine.”,2021/06/23 , United States
FALSE, Dr. Hasan Hüsnü Eren’s multiple allegations about the vaccines.,2021/06/23 , Turkey
MISLEADING, Pfizer lied about the ultra-low temperature for storing the vaccine.,2021/06/23 , Ukraine
FALSO, Studies showing that the vaccine COVID-19 Pfizer can cause neurodegenerative diseases.,2021/06/23 , Spain
FALSO, A study proves that messenger RNA vaccines can alter our DNA.,2021/06/22 , Spain
FALSE, The AstraZeneca vaccine donated by Japan was originally produced by problematic American factory Emergent BioSolutions. Stop injecting people with that batch of vaccine.,2021/06/22 , Taiwan
FAŁSZ, Vaccines against the COVID-19 provide to infertility.,2021/06/22 , Poland
FALSE, Vaccines and covid tests contaminate with graphene and magnetize patients.,2021/06/22 , Spain
NO EVIDENCE, Four British Airways pilots and five Air India pilots died after getting COVID-19 vaccines.,2021/06/22 , United States
NO EVIDENCE, Four British Airways pilots and five Air India pilots died after getting COVID-19 vaccines.,2021/06/22 , United States
Manipulation," The US FDA revealed the adverse events, including 20 severe diseases, in the studies of coronavirus vaccines.",2021/06/22 ," Georgia, United States"
FALSE, Ugur Sahin said that he did not know if the vaccine works or not.,2021/06/22 , Turkey
FALSE, AstraZeneca announced that its Covid vaccine is ineffective.,2021/06/22 ," France, Niger"
FALSE, “The World Health Organization recently reversed its stance on children getting the Covid vaccine.”,2021/06/22 , United States
FALSE, Those who have the COVID-19 vaccine are not taken to MRI.,2021/06/22 , Turkey
Falso, Vaccines cause magnetism in the body.,2021/06/22 , Colombia
FALSE, COVID-19 vaccines are toxic.,2021/06/22 , Turkey
FALSE, Canadian immunologist claims that widely used the Covid-19 vaccines are dangerous.,2021/06/22 , Germany
FALSE," Moderna began making the COVID-19 vaccine before the pandemic, according to a secret document.",2021/06/21 , Ukraine
FALSE, The Spike protein produced by the mRNA vaccines is a toxin and can make women infertile.,2021/06/21 , Brazil
PARTY FALSE," It’s wrong to have your injected arm akimbo when receiving a covid jab. The correct way is to have your arm down naturally since covid vaccine should be administered intramuscularly, not subcutaneous injection.",2021/06/21 , Taiwan
FALSE, Spike protein is transmitted via vaccines. Everyone vaccinated has bit. Beware.,2021/06/21 , North Macedonia
FALSE, A German study proves that the Pfizer/BioNTech vaccine is ineffective and even dangerous because the autopsy of an 86-year-old vaccinated man revealed the presence of Sars-Cov-2 RNA and protein S “spike” in his body.,2021/06/21 ," France, Germany"
FALSE, mRNA technology in COVID-19 vaccines was never tested in humans.,2021/06/21 , United States
MISLEADING, A biosensor made by US digital health company Profusa is set to be injected into people through the Covid-19 vaccines.,2021/06/21 ," New Zealand, United Kingdom"
FALSE, Vaccines cause leukemia and “break” the immune system – a statement by Prof. Poletayev.,2021/06/21 , Ukraine
FALSO, The lipids in Pfizer’s COVID-19 vaccine accumulate in the ovaries and spleen and cause menstrual “disorders” and “neurodegenerative diseases.”,2021/06/21 , Spain
FALSO, COVID-19 vaccines make your breasts grow.,2021/06/21 , Spain
FALSE, Spike protein from vaccines is spread throughout the body and poisons organs.,2021/06/21 , Brazil
PARTY FALSE," The covid vaccination rate is low in Japan is because their dark history of several vaccination events. One is the rheumatoid arthritis vaccine. The administered doses were too high, and it led to nine deaths.",2021/06/20 , Taiwan
FALSE, Covid vaccines are turning the immunized into human-eating werewolves in Bolivia.,2021/06/20 ," Spain, Bolivia"
MISLEADING, Indians allegedly become “magnetic” after receiving a coronavirus vaccine.,2021/06/20 , Bangladesh
FALSO, Coronavirus vaccines and PCR swabs contain graphene and generate magnetism.,2021/06/18 , Spain
FALSE, Pierre Gilbert predicted that we would be forced to take vaccines to control ourselves through liquid crystals.,2021/06/18 , Spain
FALSO, Vaccines authorized in Brazil did not pass through all clinical tests.,2021/06/18 , Brazil
NO EVIDENCE," A 27-year-old man died in Mukhrani, Georgia after getting a vaccine.",2021/06/18 , Georgia
FALSE, Soccer player Eriksen collapsed as a result of a COVID-19 vaccine.,2021/06/18 , Spain
FALSE, The protein created by anti-Covid vaccines and used to make antibodies is toxic for humans.,2021/06/18 ," France, Germany"
FALSE, All COVID-19 vaccines are the same.,2021/06/18 , Ukraine
FALSE, The video shows the São Paulo mayor thanking Jair Bolsonaro for the Covid-19 vaccines.,2021/06/18 , Brazil
FAŁSZ, Vaccines against the COVID-19 produce toxic protein.,2021/06/17 , Poland
Manipulation," COVID vaccination causes heart inflammation in young people, Israel has admitted that vaccine causes the development of myocarditis.",2021/06/17 ," Georgia, Israel"
FALSE," COVID-19 vaccines cause 13 thousand deaths, according to European regulators.",2021/06/17 , Brazil
FALSE, The Deccan Chronicle has recently reported that vaccine hesitancy is as high as 74.53%.,2021/06/17 , India
FALSE," The COVID-19 vaccine has killed 50,000 people in the United States.",2021/06/17 , Ukraine
FALSE," According to Arizona Governor’s Executive Order COVID vaccines, masks and tests are banned in schools.",2021/06/16 ," Georgia, United States"
Manipulation, Millions of doses of Johnson & Johnson vaccine about to be disposed speaks of its unsafety.,2021/06/16 , Georgia
FALSE, A scientific study published in The Lancet confirms that the real efficacy of covid vaccines is barely 1%.,2021/06/16 , Spain
Partly False, The British drug regulator has enough evidence to declare that Covid-19 vaccines are dangerous for humans.,2021/06/16 , France
Fake, The French Drug Assessment Centre stated that all the COVID-19 vaccine batches should be withdrawn.,2021/06/16 ," Ukraine, France"
FALSE," Ukraine uses a bad vaccine, so you need to be vaccinated again when entering the EU.",2021/06/16 , Ukraine
FALSE, Danish footballer Christian Eriksen’s collapse was a result of the AstraZeneca COVID-19 Vaccine,2021/06/15 ," Georgia, Denmark"
FALSO, Denish football player Christian Eriksen had a sudden heart attack after receiving a jab of Pfizer’s vaccine.,2021/06/15 , Brazil
FALSE," Christian Eriksen, a Danish soccer player who collapsed during a match over the weekend, recently received a COVID-19 vaccine.",2021/06/15 , United States
MISLEADING, Japanese Red Cross refuses blood donations from people injected with coronavirus vaccines.,2021/06/15 , Spain
FALSE, The serial number appears on the Bluetooth screen of those who have the COVID-19 vaccine.,2021/06/15 , Turkey
Fake, Danish footballer Eriksen lost consciousness during the match caused by the COVID-19 vaccine.,2021/06/15 ," Ukraine, Denmark"
FALSE, The team confirmed that soccer star Christian Eriksen received COVID-19 vaccine days before collapsing during a match.,2021/06/14 , United States
Manipulation, Vaccine against COVID-19 massively causes myocarditis among young people.,2021/06/14 , Ukraine
Misleading, Australian government document classified Covid-19 vaccines as “poison.”,2021/06/14 , Australia
PARTLY FALSE," Confidential Pfizer research document, translated from Japanese to English. “Biodistribution” study of mRNA vaccines. Proves the mRNA moves from the injection site to the blood, then circulates spike proteins throughout the body, attacking the ovaries, liver, neurological tissues, other organs. This is the study that will result in mRNA vaccines being pulled from the market.",2021/06/14 , North Macedonia
FALSE, Electronic devices “recognize” people who have received the AstraZeneca Covid-19 vaccine.,2021/06/14 , South Korea
FALSE, Those vaccinated against Covid-19 cannot donate blood because the vaccine destroys their natural antibodies.,2021/06/14 ," Spain, United States"
FALSE, Christian Eriksen took the Pfizer vaccine days before he collapsed in a Eurocup game.,2021/06/14 , Brazil
FALSE, Christian Eriksen’s mild heart attack was caused by the Covid-19 vaccine.,2021/06/14 ," France, Germany, Poland"
MISLEADING, Vaccine are dangerous because they have been tested too quickly,2021/06/14 ," Canada, France"
FALSE, the American Red Cross “reports that vaccinated people cannot donate blood because the vaccine completely destroys their natural antibodies.”,2021/06/14 , United States
PARTLY FALSE," An image shows that certain people should not receive covid vaccine, such as people with chronic diseases, cardiovascular diseases, cancer history, hepatitis type B, anemia, hypertension, 3-6 months pregnant, breastfeeding.",2021/06/14 , Taiwan
FALSE, Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,2021/06/14 , United States
Misleading, “The MHRA now has more than enough evidence on the Yellow Card system to declare the COVID-19 vaccines unsafe for use in humans.”,2021/06/14 , United States
FALSE, Vaccines are changing human DNA.,2021/06/14 , Poland
FALSE, The team confirmed that soccer star Christian Eriksen received COVID-19 vaccine days before collapsing during a match.,2021/06/14 , United States
FALSE, AstraZeneca vaccine bottle without laboratory name is fake.,2021/06/14 , Brazil
FALSE, The WHO General Director for Europe said that “the vaccine is not effective in ending the pandemic.”,2021/06/14 , Turkey
FALSE, Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,2021/06/14 , United States
